player,start_time,end_time,quarter,match_delta,match_time,match_end_delta,match_end_time
1st Runner ,0 days 00:18:35.900000,0 days 00:18:55.900000,Q1,0 days 00:06:32.699000,06:32,0 days 00:06:52.699000,06:52
1st Runner ,0 days 00:21:25.201000,0 days 00:21:45.201000,Q1,0 days 00:09:22,09:22,0 days 00:09:42,09:42
1st Runner ,0 days 00:25:18.600000,0 days 00:25:38.600000,Q1,0 days 00:13:15.399000,13:15,0 days 00:13:35.399000,13:35
25 Entry  JSHC,0 days 00:14:13.301000,0 days 00:14:33.301000,Q1,0 days 00:02:10.100000,02:10,0 days 00:02:30.100000,02:30
25 Entry  JSHC,0 days 00:16:55.400000,0 days 00:17:15.400000,Q1,0 days 00:04:52.199000,04:52,0 days 00:05:12.199000,05:12
25 Entry  JSHC,0 days 00:23:04.104000,0 days 00:23:24.104000,Q1,0 days 00:11:00.903000,11:00,0 days 00:11:20.903000,11:20
25 Entry  JSHC,0 days 00:25:56.400000,0 days 00:26:16.400000,Q1,0 days 00:13:53.199000,13:53,0 days 00:14:13.199000,14:13
25 Entry  JSHC,0 days 00:26:57.300000,0 days 00:27:17.300000,Q1,0 days 00:14:54.099000,14:54,0 days 00:15:14.099000,15:14
25 Entry  JSHC,0 days 00:35:01.100000,0 days 00:35:21.100000,Q2,0 days 00:01:36.099000,01:36,0 days 00:01:56.099000,01:56
25 Entry  JSHC,0 days 00:39:45.205000,0 days 00:40:05.205000,Q2,0 days 00:06:20.204000,06:20,0 days 00:06:40.204000,06:40
25 Entry  JSHC,0 days 00:43:06.200000,0 days 00:43:26.200000,Q2,0 days 00:09:41.199000,09:41,0 days 00:10:01.199000,10:01
25 Entry  JSHC,0 days 00:44:41.301000,0 days 00:45:01.301000,Q2,0 days 00:11:16.300000,11:16,0 days 00:11:36.300000,11:36
25 Entry  JSHC,0 days 00:46:03.600000,0 days 00:46:23.600000,Q2,0 days 00:12:38.599000,12:38,0 days 00:12:58.599000,12:58
25 Entry  JSHC,0 days 00:47:13.400000,0 days 00:47:33.400000,Q2,0 days 00:13:48.399000,13:48,0 days 00:14:08.399000,14:08
25 Entry  JSHC,0 days 01:05:52.300000,0 days 01:06:12.300000,Q3,0 days 00:02:07.099000,02:07,0 days 00:02:27.099000,02:27
25 Entry  JSHC,0 days 01:07:56.201000,0 days 01:08:16.201000,Q3,0 days 00:04:11,04:11,0 days 00:04:31,04:31
25 Entry  JSHC,0 days 01:09:38.500000,0 days 01:09:58.500000,Q3,0 days 00:05:53.299000,05:53,0 days 00:06:13.299000,06:13
25 Entry  JSHC,0 days 01:10:44.501000,0 days 01:11:04.501000,Q3,0 days 00:06:59.300000,06:59,0 days 00:07:19.300000,07:19
25 Entry  JSHC,0 days 01:13:36.600000,0 days 01:13:56.600000,Q3,0 days 00:09:51.399000,09:51,0 days 00:10:11.399000,10:11
25 Entry  JSHC,0 days 01:15:41.601000,0 days 01:16:01.601000,Q3,0 days 00:11:56.400000,11:56,0 days 00:12:16.400000,12:16
25 Entry  JSHC,0 days 01:21:23.500000,0 days 01:21:43.500000,Q3,0 days 00:17:38.299000,17:38,0 days 00:17:58.299000,17:58
25 Entry  JSHC,0 days 01:22:17.400000,0 days 01:22:37.400000,Q3,0 days 00:18:32.199000,18:32,0 days 00:18:52.199000,18:52
25 Entry  JSHC,0 days 01:28:13.101000,0 days 01:28:33.101000,Q4,0 days 00:02:11.301000,02:11,0 days 00:02:31.301000,02:31
25 Entry  JSHC,0 days 01:30:32.601000,0 days 01:30:52.601000,Q4,0 days 00:04:30.801000,04:30,0 days 00:04:50.801000,04:50
25 Entry  JSHC,0 days 01:31:37.801000,0 days 01:31:57.801000,Q4,0 days 00:05:36.001000,05:36,0 days 00:05:56.001000,05:56
25 Entry  JSHC,0 days 01:34:40.400000,0 days 01:35:00.400000,Q4,0 days 00:08:38.600000,08:38,0 days 00:08:58.600000,08:58
25 Entry  JSHC,0 days 01:36:57.501000,0 days 01:37:17.501000,Q4,0 days 00:10:55.701000,10:55,0 days 00:11:15.701000,11:15
25 Entry  JSHC,0 days 01:39:07.900000,0 days 01:39:27.900000,Q4,0 days 00:13:06.100000,13:06,0 days 00:13:26.100000,13:26
25 Entry SRBT,0 days 00:12:41.100000,0 days 00:13:01.100000,Q1,0 days 00:00:37.899000,00:37,0 days 00:00:57.899000,00:57
25 Entry SRBT,0 days 00:13:32.800000,0 days 00:13:52.800000,Q1,0 days 00:01:29.599000,01:29,0 days 00:01:49.599000,01:49
25 Entry SRBT,0 days 00:13:58.100000,0 days 00:14:18.100000,Q1,0 days 00:01:54.899000,01:54,0 days 00:02:14.899000,02:14
25 Entry SRBT,0 days 00:15:42.701000,0 days 00:16:02.701000,Q1,0 days 00:03:39.500000,03:39,0 days 00:03:59.500000,03:59
25 Entry SRBT,0 days 00:17:34.800000,0 days 00:17:54.800000,Q1,0 days 00:05:31.599000,05:31,0 days 00:05:51.599000,05:51
25 Entry SRBT,0 days 00:22:16.401000,0 days 00:22:34.841000,Q1,0 days 00:10:13.200000,10:13,0 days 00:10:31.640000,10:31
25 Entry SRBT,0 days 00:22:34.851000,0 days 00:22:36.401000,Q1,0 days 00:10:31.650000,10:31,0 days 00:10:33.200000,10:33
